epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.48144,0.00141,0.0,0.00099924,45.66,0,790
2,1.036638,0.006907,0.0,0.00099698,45.14,0,1580
3,0.997949,0.035438,0.0,0.00099321,44.92,0,2370
4,0.98918,0.05214,0.0,0.00098795,45.11,0,3160
5,0.984982,0.080655,0.0,0.00098122,44.79,0,3950
6,0.981615,0.109046,0.0,0.00097303,45.46,0,4740
7,0.978165,0.102101,0.0,0.00096341,45.47,0,5530
8,0.97452,0.141529,0.0,0.00095239,44.93,0,6320
9,0.970276,0.16023,0.240569,0.00094,45.39,0,7110
10,0.965969,0.168979,0.22695,0.00092629,45.13,0,7900
11,0.961488,0.186751,0.238882,0.00091128,45.32,0,8690
12,0.958413,0.219196,0.263788,0.00089504,44.99,0,9480
13,0.955339,0.243666,0.285871,0.00087761,45.0,0,10270
14,0.953348,0.213811,0.239933,0.00085904,46.86,0,11060
15,0.951483,0.227147,0.243039,0.00083938,46.78,0,11850
16,0.949383,0.233083,0.249645,0.00081871,46.41,0,12640
17,0.949208,0.259361,0.278607,0.00079707,45.54,0,13430
18,0.947553,0.2423,0.257822,0.00077455,45.42,0,14220
19,0.946606,0.241114,0.253481,0.0007512,45.49,0,15010
20,0.945709,0.17544,0.183526,0.0007271,45.54,0,15800
21,0.945276,0.305314,0.321473,0.00070232,47.67,0,16590
22,0.944313,0.301153,0.313627,0.00067694,46.5,0,17380
23,0.943736,0.338902,0.350145,0.00065103,45.9,0,18170
24,0.942544,0.30902,0.322434,0.00062468,44.97,0,18960
25,0.942149,0.294584,0.304245,0.00059796,45.14,0,19750
26,0.941637,0.270643,0.276693,0.00057096,45.4,0,20540
27,0.942209,0.260922,0.269474,0.00054375,45.04,0,21330
28,0.9408,0.290207,0.296332,0.00051643,47.03,0,22120
29,0.94079,0.287578,0.294103,0.00048907,45.11,0,22910
30,0.940799,0.303036,0.311638,0.00046176,45.5,0,23700
31,0.939424,0.301918,0.309718,0.00043459,44.82,0,24490
32,0.938734,0.278714,0.285652,0.00040762,45.0,0,25280
33,0.938847,0.300822,0.309459,0.00038096,45.13,0,26070
34,0.938624,0.325118,0.333095,0.00035467,45.38,0,26860
35,0.938655,0.288828,0.297449,0.00032885,45.77,0,27650
36,0.938207,0.301451,0.308433,0.00030356,45.91,0,28440
37,0.937808,0.255387,0.260477,0.00027889,45.38,0,29230
38,0.936956,0.295772,0.30307,0.00025491,46.01,0,30020
39,0.937299,0.323054,0.330848,0.00023169,45.99,0,30810
40,0.936457,0.304087,0.311459,0.0002093,45.8,0,31600
41,0.936346,0.303675,0.311212,0.00018782,45.62,0,32390
42,0.936536,0.291106,0.29681,0.00016731,45.19,0,33180
43,0.935812,0.30556,0.31278,0.00014783,45.43,0,33970
44,0.93592,0.303606,0.310179,0.00012944,45.33,0,34760
45,0.935708,0.296464,0.30236,0.0001122,45.64,0,35550
46,0.93552,0.326407,0.333114,9.616e-05,45.71,0,36340
