epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.596304,0.000463,0.0,0.00099902,97.26,0,898
2,1.075095,0.002545,0.0,0.0009961,98.74,0,1796
3,0.996478,0.034723,0.0,0.00099123,97.99,0,2694
4,0.985045,0.050476,0.0,0.00098445,98.1,0,3592
5,0.979846,0.05918,0.0,0.00097577,98.11,0,4490
6,0.975537,0.049178,0.0,0.00096524,97.79,0,5388
7,0.971849,0.10741,0.0,0.00095289,99.21,0,6286
8,0.966571,0.171932,0.324961,0.00093877,98.31,0,7184
9,0.960421,0.205688,0.276917,0.00092294,97.97,0,8082
10,0.954968,0.267104,0.336359,0.00090546,97.96,0,8980
11,0.951632,0.114155,0.128879,0.0008864,98.13,0,9878
12,0.947483,0.271367,0.305723,0.00086584,98.07,0,10776
13,0.944866,0.270445,0.295507,0.00084385,98.35,0,11674
14,0.942532,0.245491,0.263449,0.00082052,99.45,0,12572
15,0.941197,0.279704,0.295119,0.00079595,97.75,0,13470
16,0.938783,0.352568,0.369326,0.00077023,98.16,0,14368
17,0.938054,0.400802,0.419568,0.00074347,98.46,0,15266
18,0.93763,0.391948,0.406093,0.00071576,97.99,0,16164
19,0.935881,0.351751,0.363687,0.00068722,98.01,0,17062
20,0.93561,0.363236,0.376096,0.00065796,99.09,0,17960
21,0.934883,0.359523,0.374692,0.0006281,98.01,0,18858
22,0.934287,0.368921,0.378925,0.00059775,98.76,0,19756
23,0.933429,0.350059,0.359112,0.00056704,98.45,0,20654
24,0.932563,0.412491,0.422953,0.00053608,97.91,0,21552
25,0.931955,0.378944,0.38764,0.000505,98.37,0,22450
26,0.931673,0.45296,0.463799,0.00047392,98.86,0,23348
27,0.931326,0.456936,0.465719,0.00044296,98.43,0,24246
28,0.930512,0.412517,0.422602,0.00041225,98.0,0,25144
29,0.930171,0.459741,0.468086,0.0003819,98.52,0,26042
30,0.929805,0.447813,0.45667,0.00035204,98.57,0,26940
31,0.929896,0.367034,0.375766,0.00032278,98.85,0,27838
32,0.929002,0.403988,0.413138,0.00029424,98.68,0,28736
33,0.928743,0.389589,0.396905,0.00026653,98.91,0,29634
34,0.928627,0.429457,0.438394,0.00023977,98.8,0,30532
35,0.928302,0.403609,0.410255,0.00021405,98.84,0,31430
36,0.927843,0.439191,0.448416,0.00018948,98.88,0,32328
37,0.927622,0.446129,0.453468,0.00016615,98.67,0,33226
38,0.927336,0.413866,0.42135,0.00014416,98.36,0,34124
39,0.927247,0.442544,0.450691,0.0001236,97.54,0,35022
40,0.926689,0.409947,0.417192,0.00010454,96.9,0,35920
41,0.926941,0.419629,0.427506,8.706e-05,97.16,0,36818
42,0.926445,0.419549,0.426514,7.123e-05,97.35,0,37716
43,0.926608,0.433747,0.440292,5.711e-05,98.02,0,38614
44,0.926127,0.407379,0.413794,4.476e-05,97.85,0,39512
45,0.926026,0.420542,0.427154,3.423e-05,97.71,0,40410
46,0.926224,0.416001,0.422792,2.555e-05,97.29,0,41308
47,0.926083,0.42792,0.434701,1.877e-05,97.31,0,42206
48,0.925954,0.423946,0.430609,1.39e-05,97.12,0,43104
49,0.925794,0.429517,0.436954,1.098e-05,97.69,0,44002
50,0.926025,0.418948,0.425977,1e-05,97.94,0,44900
51,0.925772,0.422649,0.429909,1e-05,97.59,0,45798
52,0.925884,0.413687,0.420814,1e-05,98.12,0,46696
53,0.925748,0.416751,0.424011,1e-05,97.13,0,47594
54,0.925546,0.41512,0.42325,1e-05,97.53,0,48492
55,0.925853,0.423684,0.430377,1e-05,97.45,0,49390
