epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps,val_dice_soft_positives,val_dice_hard_positives
77,0.282097,0.224981,0.235687,0.00095372,5.57,0,6853,0.439406,0.464238
78,0.282845,0.198286,0.205506,0.00095253,5.59,0,6942,0.434,0.455666
79,0.277033,0.130006,0.134081,0.00095133,5.6,0,7031,0.428201,0.449817
80,0.281277,0.128128,0.1322,0.00095011,5.64,0,7120,0.445267,0.468164
81,0.276046,0.123714,0.126794,0.00094887,5.63,0,7209,0.464508,0.485028
82,0.273232,0.206142,0.213365,0.00094763,5.57,0,7298,0.386733,0.403532
83,0.272094,0.196268,0.20293,0.00094637,5.75,0,7387,0.461621,0.481447
84,0.268511,0.159253,0.163418,0.00094509,5.65,0,7476,0.474731,0.494239
85,0.263666,0.118869,0.121321,0.0009438,5.61,0,7565,0.424198,0.441353
86,0.26598,0.166834,0.172055,0.0009425,5.63,0,7654,0.451555,0.471028
87,0.269483,0.153701,0.157105,0.00094118,5.6,0,7743,0.460183,0.476122
88,0.264468,0.131928,0.134778,0.00093985,5.6,0,7832,0.464095,0.479194
89,0.263392,0.14804,0.151876,0.0009385,5.62,0,7921,0.480221,0.498096
90,0.261757,0.177611,0.181668,0.00093714,5.83,0,8010,0.443692,0.457637
91,0.257175,0.223133,0.228437,0.00093577,5.65,0,8099,0.45453,0.468218
92,0.25745,0.15416,0.157389,0.00093438,5.59,0,8188,0.342162,0.352154
93,0.263451,0.263689,0.272858,0.00093298,5.62,0,8277,0.458322,0.474754
94,0.256881,0.184023,0.187853,0.00093157,5.7,0,8366,0.474145,0.487974
95,0.252957,0.202245,0.207127,0.00093014,5.61,0,8455,0.444168,0.457944
96,0.256387,0.174329,0.177456,0.0009287,5.47,0,8544,0.477009,0.488719
97,0.252368,0.164672,0.167653,0.00092724,5.63,0,8633,0.473078,0.485227
98,0.254486,0.18916,0.194183,0.00092577,5.79,0,8722,0.439822,0.452863
99,0.253009,0.201388,0.205365,0.00092429,5.56,0,8811,0.446069,0.455829
100,0.250846,0.229386,0.233599,0.00092279,5.53,0,8900,0.473772,0.485371
101,0.248639,0.144665,0.147446,0.00092128,5.49,0,8989,0.44389,0.455927
102,0.251655,0.173143,0.175933,0.00091976,5.56,0,9078,0.480934,0.491053
103,0.24823,0.212031,0.2158,0.00091822,5.53,0,9167,0.48034,0.490539
104,0.248057,0.126931,0.128445,0.00091667,5.61,0,9256,0.467832,0.477109
105,0.244445,0.222147,0.225937,0.00091511,5.65,0,9345,0.444129,0.45368
106,0.244978,0.216589,0.219908,0.00091354,5.5,0,9434,0.450544,0.458662
107,0.244397,0.192564,0.195677,0.00091195,5.59,0,9523,0.430508,0.439033
108,0.245051,0.188626,0.191478,0.00091035,5.5,0,9612,0.459183,0.468164
109,0.248129,0.162447,0.164589,0.00090873,5.65,0,9701,0.49613,0.504647
110,0.24179,0.199112,0.202634,0.0009071,5.53,0,9790,0.430726,0.439231
111,0.240814,0.247838,0.251774,0.00090546,5.64,0,9879,0.467686,0.476273
112,0.239022,0.178259,0.180492,0.00090381,5.64,0,9968,0.476698,0.484632
113,0.239659,0.192466,0.194869,0.00090214,5.64,0,10057,0.434326,0.441858
114,0.242754,0.131781,0.133339,0.00090047,5.58,0,10146,0.44671,0.454818
115,0.238879,0.203009,0.205182,0.00089877,5.52,0,10235,0.475706,0.48234
116,0.235709,0.227427,0.230291,0.00089707,5.57,0,10324,0.483322,0.491464
117,0.234234,0.18617,0.188355,0.00089535,5.58,0,10413,0.492361,0.500131
118,0.232146,0.230832,0.234723,0.00089362,5.64,0,10502,0.46183,0.470898
119,0.235807,0.199234,0.201621,0.00089188,5.46,0,10591,0.436441,0.442499
120,0.234884,0.222078,0.224664,0.00089013,5.59,0,10680,0.491688,0.49778
121,0.23378,0.168222,0.170183,0.00088836,5.66,0,10769,0.418306,0.424781
122,0.236719,0.185973,0.187716,0.00088658,5.49,0,10858,0.464418,0.46981
123,0.231087,0.150639,0.15255,0.00088479,5.58,0,10947,0.448264,0.454416
124,0.234144,0.173979,0.176177,0.00088299,5.66,0,11036,0.443598,0.449741
125,0.232564,0.138354,0.139449,0.00088117,5.48,0,11125,0.481887,0.487894
126,0.231172,0.19911,0.201437,0.00087935,5.58,0,11214,0.413895,0.419744
127,0.228988,0.17215,0.173955,0.00087751,5.76,0,11303,0.495979,0.501231
128,0.228014,0.134036,0.135233,0.00087566,5.77,0,11392,0.46922,0.475416
129,0.227896,0.193758,0.195785,0.00087379,5.49,0,11481,0.501035,0.506563
130,0.224995,0.172953,0.174602,0.00087192,5.64,0,11570,0.446784,0.451667
131,0.227694,0.256379,0.259365,0.00087003,5.79,0,11659,0.457965,0.463066
132,0.228241,0.177259,0.179154,0.00086813,5.72,0,11748,0.440092,0.444731
