epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,0.638064,0.414944,0.426484,9.995e-05,11.83,0,178
2,0.63623,0.407478,0.418417,9.979e-05,11.13,0,356
3,0.636622,0.413469,0.424208,9.952e-05,11.26,0,534
4,0.636699,0.40985,0.420554,9.914e-05,11.12,0,712
5,0.634635,0.417392,0.42875,9.866e-05,11.24,0,890
6,0.637116,0.419573,0.430002,9.808e-05,11.18,0,1068
7,0.636731,0.40786,0.416927,9.739e-05,11.42,0,1246
8,0.634259,0.425203,0.435184,9.66e-05,11.2,0,1424
9,0.637008,0.407613,0.417845,9.571e-05,11.35,0,1602
10,0.634297,0.391188,0.401044,9.472e-05,11.32,0,1780
11,0.63397,0.397563,0.407376,9.364e-05,11.14,0,1958
12,0.635462,0.419764,0.42773,9.246e-05,11.4,0,2136
13,0.634036,0.433071,0.442083,9.119e-05,11.05,0,2314
14,0.633755,0.413243,0.422656,8.983e-05,11.25,0,2492
15,0.63164,0.407185,0.415829,8.839e-05,11.61,0,2670
16,0.633432,0.400144,0.40822,8.687e-05,11.24,0,2848
17,0.632165,0.374624,0.383145,8.526e-05,11.15,0,3026
18,0.633513,0.381921,0.390965,8.358e-05,11.26,0,3204
19,0.631458,0.411435,0.419743,8.183e-05,11.13,0,3382
20,0.631868,0.400804,0.410255,8.001e-05,11.35,0,3560
21,0.632695,0.40513,0.414848,7.813e-05,11.38,0,3738
22,0.633395,0.411731,0.422063,7.619e-05,11.43,0,3916
23,0.631067,0.401305,0.410291,7.419e-05,11.16,0,4094
24,0.631944,0.388523,0.397277,7.214e-05,11.41,0,4272
25,0.633234,0.383318,0.391147,7.004e-05,11.29,0,4450
26,0.632149,0.392302,0.400987,6.79e-05,11.06,0,4628
27,0.630489,0.388173,0.396446,6.572e-05,11.17,0,4806
28,0.631779,0.379586,0.3873,6.351e-05,11.19,0,4984
29,0.631314,0.387775,0.395997,6.127e-05,11.19,0,5162
30,0.630532,0.398839,0.406566,5.901e-05,11.17,0,5340
31,0.630976,0.38957,0.397694,5.673e-05,11.07,0,5518
32,0.629003,0.399939,0.408565,5.444e-05,11.06,0,5696
33,0.630109,0.397436,0.405954,5.213e-05,11.05,0,5874
34,0.629623,0.399311,0.40801,4.983e-05,11.38,0,6052
35,0.631572,0.405242,0.414747,4.752e-05,11.08,0,6230
36,0.6284,0.404701,0.413615,4.522e-05,11.01,0,6408
37,0.629247,0.391074,0.400238,4.294e-05,11.18,0,6586
38,0.629538,0.380241,0.388973,4.067e-05,11.33,0,6764
39,0.628018,0.394808,0.403843,3.842e-05,11.35,0,6942
40,0.630347,0.383658,0.392382,3.619e-05,11.07,0,7120
41,0.627926,0.388136,0.395959,3.4e-05,11.21,0,7298
42,0.629089,0.386609,0.395306,3.184e-05,11.1,0,7476
43,0.629487,0.399845,0.409227,2.973e-05,11.13,0,7654
44,0.629233,0.390701,0.398351,2.766e-05,11.28,0,7832
45,0.628771,0.384642,0.39329,2.564e-05,11.18,0,8010
46,0.629185,0.392865,0.4018,2.367e-05,11.19,0,8188
47,0.630184,0.391606,0.399865,2.176e-05,11.18,0,8366
48,0.628882,0.373818,0.381376,1.992e-05,11.14,0,8544
49,0.629561,0.378944,0.387015,1.814e-05,11.11,0,8722
50,0.628673,0.381212,0.389323,1.643e-05,10.99,0,8900
51,0.628372,0.384412,0.393038,1.479e-05,11.06,0,9078
52,0.628266,0.383911,0.391884,1.323e-05,11.3,0,9256
53,0.628122,0.387703,0.395522,1.176e-05,11.13,0,9434
54,0.626444,0.386208,0.394783,1.036e-05,11.29,0,9612
55,0.62877,0.387467,0.395868,9.06e-06,11.13,0,9790
56,0.628952,0.386938,0.395651,7.84e-06,11.11,0,9968
57,0.627211,0.389549,0.398385,6.72e-06,11.0,0,10146
58,0.628028,0.388352,0.396948,5.69e-06,10.97,0,10324
59,0.628052,0.389046,0.39762,4.76e-06,11.02,0,10502
60,0.627694,0.389014,0.397868,3.93e-06,10.9,0,10680
61,0.628714,0.387528,0.396381,3.2e-06,11.06,0,10858
62,0.627174,0.386995,0.395811,2.57e-06,11.37,0,11036
63,0.627714,0.385617,0.394503,2.04e-06,11.29,0,11214
64,0.628466,0.385947,0.394776,1.63e-06,11.06,0,11392
65,0.627706,0.386342,0.395282,1.31e-06,11.16,0,11570
66,0.627304,0.386826,0.395738,1.11e-06,10.97,0,11748
67,0.625844,0.386917,0.395804,1.01e-06,11.02,0,11926
68,0.629002,0.386575,0.395632,1e-06,11.27,0,12104
