target_size,resize_mode,slices,positive_slices,positive_slices_lost,roundtrip_all,roundtrip_small,roundtrip_medium,roundtrip_large,roundtrip_worst,volume_change_pct,minutes
192,stretch,20573,1920,10,0.9385825396825396,0.9080952380952381,0.9442809523809523,0.9633714285714285,0.8602,-2.154650793650794,0.0
192,pad,20573,1920,10,0.9320079365079365,0.8978952380952381,0.9378666666666665,0.9602619047619046,0.8355,-2.846619047619047,63.30458639462789
256,stretch,20573,1924,6,0.9512111111111111,0.9280952380952379,0.9549904761904762,0.970547619047619,0.8957,-1.2800634920634921,40.96136646270752
256,pad,20573,1923,7,0.9476666666666665,0.9236809523809525,0.9507619047619048,0.968557142857143,0.8792,-1.3874920634920633,33.70066322485606
320,stretch,20573,1925,5,0.9582793650793651,0.9387190476190477,0.9610238095238097,0.9750952380952379,0.91,-1.0733174603174602,52.20333220561346
320,pad,20573,1923,7,0.9548920634920633,0.9346523809523808,0.9570523809523811,0.9729714285714286,0.9115,-1.1170158730158732,53.22410491307576
