epoch,train_loss,val_loss,val_dice,lr
1,1.8219623974794468,1.7432929996786446,0.009212709963321686,0.0009990133642141358
2,1.7002224632974208,1.6561924239684795,6.923219189047813e-05,0.000996057350657239
3,1.6200420666023119,1.5835966365090732,0.0,0.0009911436253643444
4,1.5390135141519399,1.3889170946746037,0.0,0.0009842915805643156
5,1.1993505898311998,1.0771720573819916,0.0,0.0009755282581475769
6,1.047310606967768,1.0251916986087273,0.0,0.0009648882429441258
7,1.00426989017859,1.0014128099227775,0.0,0.0009524135262330099
8,0.973055069615855,0.9725964151579758,0.0,0.0009381533400219318
9,0.9466917176218428,0.9566000227270455,0.0,0.0009221639627510075
10,0.9230608425196811,0.9434646912689867,0.0,0.0009045084971874736
11,0.9014385300275136,0.9508843822725888,0.0,0.0008852566213878945
12,0.8869519413575618,0.942523454797679,0.0,0.0008644843137107056
13,0.8747050420067014,0.9230412666139931,0.0,0.0008422735529643443
14,0.8651867237316786,0.9319179356098175,0.0,0.0008187119948743448
15,0.8592137662616707,0.9239162648546284,0.0,0.0007938926261462366
16,0.8506210816682443,0.9227891790455786,0.0,0.0007679133974894982
17,0.8426763566993397,0.9255739748477936,0.0,0.0007408768370508576
18,0.8379545578589807,0.9029183161669764,0.0,0.0007128896457825362
19,0.8317144841132079,0.9021422770516626,0.0,0.0006840622763423389
20,0.8259762028265282,0.8987629629414657,0.0,0.0006545084971874735
21,0.8188305398416237,0.9017992985659632,0.0,0.0006243449435824271
22,0.8123930047249653,0.9046817822702999,0.43239614367485046,0.0005936906572928622
23,0.8078187136255073,0.897981573281617,0.48250508308410645,0.000562666616782152
24,0.7995597014765767,0.903283676196789,0.4525032937526703,0.0005313952597646566
25,0.7973665725550002,0.9031736383150364,0.4494909942150116,0.0004999999999999998
26,0.7909858745230726,0.9084421868981987,0.439537912607193,0.00046860474023534314
27,0.7862230433514837,0.8936705070322958,0.4792190492153168,0.00043733338321784774
28,0.7782253044596791,0.9062490000807005,0.4295732080936432,0.00040630934270713756
29,0.777203508030028,0.899851903833192,0.45114004611968994,0.00037565505641757246
30,0.7746728284824529,0.8920298044023842,0.4751700758934021,0.00034549150281252633
31,0.7705413970721544,0.8881858484498386,0.48297691345214844,0.00031593772365766105
32,0.7658195351002485,0.8965486128782404,0.45326584577560425,0.00028711035421746355
33,0.7619618752298976,0.8962093098410244,0.45562246441841125,0.0002591231629491422
34,0.7587847441611205,0.8966641056126562,0.4504656493663788,0.00023208660251050145
35,0.7565781890287907,0.8807640106513582,0.497753381729126,0.00020610737385376337
36,0.7529063312965032,0.8902197952928215,0.46677419543266296,0.00018128800512565502
37,0.7527759413747392,0.8846757725395006,0.4881828725337982,0.00015772644703565555
38,0.7516979592791676,0.8963206420684683,0.4460733234882355,0.00013551568628929425
39,0.7472530568139792,0.8902544636150886,0.4667247533798218,0.00011474337861210535
40,0.7464398775227676,0.8881665930665773,0.4736289978027344,9.549150281252626e-05
41,0.7443472735980559,0.8943761546036293,0.4521491825580597,7.783603724899252e-05
42,0.740894194185381,0.8922494619057096,0.45767584443092346,6.184665997806817e-05
43,0.742127669633493,0.8897136578272129,0.464051753282547,4.7586473766990294e-05
44,0.7424657676346909,0.887861427048157,0.4705769419670105,3.5111757055874305e-05
45,0.7418048836775786,0.8868378334004303,0.4738854765892029,2.4471741852423218e-05
46,0.74150474096191,0.8900362109315807,0.4635554254055023,1.5708419435684507e-05
47,0.7412070515593128,0.8878882666086328,0.4706494212150574,8.856374635655634e-06
48,0.740322859682275,0.8889831828659979,0.466898113489151,3.942649342761115e-06
49,0.7404168875965141,0.8890610450300677,0.46653586626052856,9.866357858642198e-07
50,0.7395186794580088,0.889045220510713,0.4665728211402893,0.0
